SERIALNUMBER METERNO IPADDRV6 SERVLOC LATITUDE LONGITUDE
2155162164 80752A34 fda0::1c9:1c:6400:8075:2a34 CRM-R-009 -22.724777 -43.439656
2155165789 M2155165789 fda0::72:1c:6404:8075:385d CAX-C-003 -22.793444 -43.328057
2155159038 M2155159038 fda0::11:1c:6404:8075:1dfe ROS-C-001 -22.791521 -43.37033
2155286926 M2155286926 fda0::66:1c:6404:8077:118e ROS-C-002 -22.791521 -43.37033
2155168129 M2155168129 fda0::65:1c:6404:8075:4181 ROS-C-003 -22.791521 -43.37033
2155286948 M2155286948 fda0::d3:1c:6404:8077:11a4 ROS-C-004 -22.791521 -43.37033
2155166194 807539F2 fda0::5:1c:6400:8075:39f2 VIL-R-001 -22.676026 -43.449357
2155166183 807539E7 fda0::f1:1c:6400:8075:39e7 FCN-R-005 -22.914243 -43.199363
2155166202 807539FA fda0::16:1c:6400:8075:39fa SAT-R-071 -22.912768 -43.18405
2155166239 80753A1F fda0::198:1c:6400:8075:3a1f SAT-R-011 -22.905524 -43.180132
2155168025 80754119 fda0::16:1c:6400:8075:4119 RLG-R-008 -22.907268 -43.192427
2153911568 80621510 fda0::87:1c:6400:8062:1510 CMR-R-074 -22.903341 -43.181435
2155171817 80754FE9 fda0::1c:1c:6400:8075:4fe9 STC-R-001 -22.72464 -43.54337
2155171780 80754FC4 fda0::74:1c:6400:8075:4fc4 QMA-R-001 -22.715017 -43.580379
2211 -80754FD02211 fda0::22:1c:6400:8075:4fd0 QMC-R-002 -22.730221 -43.563492
2155287151 8077126F fda0::13c:1c:6400:8077:126f SLZ-R-004 -22.909906 -43.174151
2155287132 8077125C fda0::57:1c:6400:8077:125c ESP-R-004 -22.9232 -43.67528
2155286963 M2155286963 fda0::47:1c:6404:8077:11b3 FND-C-001 -22.838464 -43.241081
2155287406 M2155287406 fda0::9f:1c:6404:8077:136e FND-C-002 -22.838464 -43.241081
2155287134 8077125E fda0::93:1c:6400:8077:125e GDL-R-002 -22.832781 -43.365747
2155287129 80771259 fda0::46:1c:6400:8077:1259 GDL-R-003 -22.828498 -43.366114
2155287531 807713EB fda0::2c:1c:6400:8077:13eb PTS-R-005 -22.986351 -43.192279
